DATE,TLAACBM027SBOG
2002-01-01,6378.5639
2002-02-01,6371.2928
2002-03-01,6355.5185
2002-04-01,6380.9891
2002-05-01,6400.1838
2002-06-01,6436.5388
2002-07-01,6484.2808
2002-08-01,6588.1593
2002-09-01,6652.8496
2002-10-01,6746.1559
2002-11-01,6838.811
2002-12-01,6933.7163
2003-01-01,6911.4264
2003-02-01,6993.2837
2003-03-01,7051.7703
2003-04-01,7074.931
2003-05-01,7201.8234
2003-06-01,7286.7693
2003-07-01,7316.0271
2003-08-01,7308.7571
2003-09-01,7264.6919
2003-10-01,7248.8246
2003-11-01,7274.0931
2003-12-01,7312.5401
2004-01-01,7403.4972
2004-02-01,7516.3752
2004-03-01,7560.7936
2004-04-01,7643.3431
2004-05-01,7667.487
2004-06-01,7747.0604
2004-07-01,7853.4919
2004-08-01,7873.3522
2004-09-01,7948.854
2004-10-01,7968.2262
2004-11-01,8005.5404
2004-12-01,8038.0101
2005-01-01,8098.8229
2005-02-01,8170.8574
2005-03-01,8274.8102
2005-04-01,8302.8729
2005-05-01,8382.1057
2005-06-01,8432.7514
2005-07-01,8480.9848
2005-08-01,8571.7408
2005-09-01,8622.8711
2005-10-01,8669.7263
2005-11-01,8689.0284
2005-12-01,8777.055
2006-01-01,8846.4869
2006-02-01,8913.7788
2006-03-01,8976.4571
2006-04-01,9104.3415
2006-05-01,9229.2021
2006-06-01,9249.2348
2006-07-01,9302.7196
2006-08-01,9338.9185
2006-09-01,9371.3703
2006-10-01,9586.0549
2006-11-01,9629.3907
2006-12-01,9760.7549
2007-01-01,9830.4371
2007-02-01,9886.451
2007-03-01,9852.8365
2007-04-01,9942.7757
2007-05-01,9997.13
2007-06-01,10070.5117
2007-07-01,10176.7675
2007-08-01,10325.6335
2007-09-01,10467.158
2007-10-01,10601.3435
2007-11-01,10748.801
2007-12-01,10822.2962
2008-01-01,10938.6888
2008-02-01,10990.3951
2008-03-01,11108.0911
2008-04-01,11056.3603
2008-05-01,11018.7234
2008-06-01,11006.9738
2008-07-01,11029.8985
2008-08-01,11009.0385
2008-09-01,11278.1209
2008-10-01,11942.9912
2008-11-01,12092.1924
2008-12-01,12327.6296
2009-01-01,12230.651
2009-02-01,12024.2222
2009-03-01,12044.3018
2009-04-01,12045.2868
2009-05-01,12084.663
2009-06-01,11966.0836
2009-07-01,11801.5292
2009-08-01,11728.2332
2009-09-01,11688.7191
2009-10-01,11748.6344
2009-11-01,11748.2455
2009-12-01,11728.7099
2010-01-01,11688.0028
2010-02-01,11701.8827
2010-03-01,11655.8521
2010-04-01,11842.2973
2010-05-01,11793.9591
2010-06-01,11723.794
2010-07-01,11787.5652
2010-08-01,11837.0992
2010-09-01,11787.4236
2010-10-01,11888.9903
2010-11-01,11833.2695
2010-12-01,11816.8575
2011-01-01,11837.8724
2011-02-01,11892.1604
2011-03-01,12044.1339
2011-04-01,12198.6851
2011-05-01,12230.249
2011-06-01,12310.5009
2011-07-01,12323.6309
2011-08-01,12416.5439
2011-09-01,12449.8638
2011-10-01,12483.5223
2011-11-01,12469.2089
2011-12-01,12546.0809
2012-01-01,12596.0043
2012-02-01,12692.668
2012-03-01,12632.7773
2012-04-01,12685.2677
2012-05-01,12715.0097
2012-06-01,12746.413
2012-07-01,12801.2913
2012-08-01,12830.026
2012-09-01,12840.2704
2012-10-01,12862.5702
2012-11-01,12984.6157
2012-12-01,13123.5304
2013-01-01,13205.267
2013-02-01,13251.1561
2013-03-01,13322.6417
2013-04-01,13385.79
2013-05-01,13472.964
2013-06-01,13538.407
2013-07-01,13575.6236
2013-08-01,13648.2005
2013-09-01,13780.8226
2013-10-01,13889.9599
2013-11-01,13958.8782
2013-12-01,14063.5992
2014-01-01,14126.2219
2014-02-01,14226.4278
2014-03-01,14344.6361
2014-04-01,14422.9414
2014-05-01,14525.9271
2014-06-01,14674.1787
2014-07-01,14779.0185
2014-08-01,14815.1811
2014-09-01,14941.3639
2014-10-01,14997.9797
2014-11-01,15034.7263
2014-12-01,15064.6955
2015-01-01,15212.056
2015-02-01,15230.4384
2015-03-01,15348.8731
2015-04-01,15390.0478
2015-05-01,15358.1008
2015-06-01,15330.5842
2015-07-01,15372.9925
2015-08-01,15428.546
2015-09-01,15410.8656
2015-10-01,15620.2506
2015-11-01,15586.3733
2015-12-01,15577.25
2016-01-01,15652.0056
2016-02-01,15712.4645
2016-03-01,15729.5835
2016-04-01,15855.2792
2016-05-01,15910.4115
2016-06-01,15953.3949
2016-07-01,16031.7565
2016-08-01,16053.1641
2016-09-01,16074.3521
2016-10-01,16029.7228
2016-11-01,16016.1878
2016-12-01,16028.1682
2017-01-01,16061.7868
2017-02-01,16138.4042
2017-03-01,16186.4068
2017-04-01,16225.8011
2017-05-01,16239.1071
2017-06-01,16238.6508
2017-07-01,16354.3267
2017-08-01,16468.6126
2017-09-01,16528.6066
2017-10-01,16594.0753
2017-11-01,16659.1599
2017-12-01,16723.3186
2018-01-01,16690.847
2018-02-01,16651.7252
2018-03-01,16582.2961
2018-04-01,16613.0678
2018-05-01,16697.569
2018-06-01,16731.8181
2018-07-01,16741.5129
2018-08-01,16701.0379
2018-09-01,16727.2376
2018-10-01,16805.5411
2018-11-01,16812.7724
2018-12-01,16936.4658
2019-01-01,16961.2502
2019-02-01,17024.0565
2019-03-01,17089.1301
2019-04-01,17104.9199
2019-05-01,17178.4141
2019-06-01,17309.1809
2019-07-01,17342.6426
2019-08-01,17460.4234
2019-09-01,17483.2602
2019-10-01,17568.1803
2019-11-01,17620.1365
2019-12-01,17715.6544
2020-01-01,17772.2282
2020-02-01,17881.9965
2020-03-01,18824.019
2020-04-01,19985.8444
2020-05-01,20242.7001
2020-06-01,20150.6846
2020-07-01,20005.7163
2020-08-01,20013.76
2020-09-01,20117.368
2020-10-01,20172.1449
2020-11-01,20257.7898
2020-12-01,20406.3549
2021-01-01,20534.6796
2021-02-01,20714.7801
2021-03-01,20930.0178
2021-04-01,21310.2708
2021-05-01,21461.4734
2021-06-01,21517.7099
2021-07-01,21691.5275
2021-08-01,21940.4578
2021-09-01,22144.4073
2021-10-01,22339.4541
2021-11-01,22502.7907
2021-12-01,22600.9725
2022-01-01,22588.5579
